#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2015-10-25T15:21:36 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ562cf2e93c78	
#INFO	-out.max=unlimited	
#INFO	queryParameters=20	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-order=I
#-out.src=J/AJ/147/136/table12
#-nav=cat:J/AJ/147/136&tab:{J/AJ/147/136/table12}&key:source=J/AJ/147/136/table12&HTTPPRM:&&-ref=VIZ562cf2e93c78&-out.max=unlimited&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&-order=I&-out=Ion&-ignore=A=*&A=A&-out=Nl&-out=l_log(e)&-out=log(e)&-out=[X/Fe]&-out=s_[X/Fe]&-out=e_[X/Fe]&-out=e2_[X/Fe]&-out=e3_[X/Fe]&-out=Name&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/AJ/147/136/table12
#-source=J/AJ/147/136/table12
#-order=I
#-out=Ion
#-out=Nl
#-out=l_log(e)
#-out=log(e)
#-out=[X/Fe]
#-out=s_[X/Fe]
#-out=e_[X/Fe]
#-out=e2_[X/Fe]
#-out=e3_[X/Fe]
#-out=Name
#

#RESOURCE=yCat_51470136
#Name: J/AJ/147/136
#Title: Stars of very low metal abundance. VI. Abundances (Roederer+, 2014)
#Table	J_AJ_147_136_table12:
#Name: J/AJ/147/136/table12
#Title: Mean abundances
#Column	Ion	(A6)	Species identifier	[ucd=phys.atmol.ionStage]
#Column	Nl	(I3)	Number of lines used	[ucd=meta.number]
#Column	l_log(e)	(A1)	Limit flag on log(e)	[ucd=meta.code.error;phys.abund;arith.zp]
#Column	log(e)	(F5.2)	? Log mean abundance (log{epsilon})	[ucd=phys.abund;arith.zp]
#Column	[X/Fe]	(F5.2)	? Abundance relative to FeI and FeII	[ucd=phys.abund]
#Column	s_[X/Fe]	(F5.2)	? Statistical uncertainty in [X/Fe]	[ucd=stat.error;phys.abund]
#Column	e_[X/Fe]	(F5.2)	? Total uncertainty in [X/Fe]	[ucd=stat.error;phys.abund]
#Column	e2_[X/Fe]	(F5.2)	? Neutrals uncertainty in [X/Fe]	[ucd=stat.error;phys.abund]
#Column	e3_[X/Fe]	(F5.2)	? Ions uncertainty in [X/Fe]	[ucd=stat.error;phys.abund]
#Column	Name	(A12)	Star identifier	[ucd=meta.id;meta.main]
Ion|Nl|l_log(e)|log(e)|[X/Fe]|s_[X/Fe]|e_[X/Fe]|e2_[X/Fe]|e3_[X/Fe]|Name
Nd II |  1| |-2.01|-0.42| 0.11| 0.18| 0.20| 0.13|CS 22957-013
Sm II |  1|<|-1.68| 0.37|     |     |     |     |CS 22957-013
Eu II |  3| |-2.77|-0.27| 0.09| 0.17| 0.19| 0.11|CS 22957-013
Gd II |  2|<|-1.36| 0.58|     |     |     |     |CS 22957-013
Tb II |  3|<|-2.03| 0.68|     |     |     |     |CS 22957-013
Dy II |  3|<|-1.90| 0.01|     |     |     |     |CS 22957-013
Er II |  2|<|-1.89| 0.20|     |     |     |     |CS 22957-013
Tm II |  2|<|-2.21| 0.70|     |     |     |     |CS 22957-013
Yb II |  1| |-2.69|-0.60| 0.15| 0.21| 0.23| 0.17|CS 22957-013
Hf II |  1|<|-1.05| 1.11|     |     |     |     |CS 22957-013
Pb I  |  1|<| 0.49| 1.43|     |     |     |     |CS 22957-013
Fe I  |115| | 5.07|-2.43| 0.07| 0.21| 0.00| 0.00|CS 22957-019
Fe II | 10| | 5.08|-2.42| 0.07| 0.15| 0.00| 0.00|CS 22957-019
Li I  |  1| | 1.56|     | 0.11| 0.22| 0.13| 0.23|CS 22957-019
C (CH)|  1| | 6.35| 0.34| 0.15| 0.25| 0.19| 0.19|CS 22957-019
N (NH)|  1|<| 6.25| 0.84|     |     |     |     |CS 22957-019
O I   |  3| | 6.44| 0.18| 0.09| 0.21| 0.12| 0.22|CS 22957-019
Mg I  |  8| | 5.46| 0.29| 0.07| 0.22| 0.10| 0.21|CS 22957-019
Al I  |  1| | 3.19|-0.83| 0.09| 0.31| 0.21| 0.30|CS 22957-019
Si I  |  1| | 5.66| 0.58| 0.22| 0.29| 0.23| 0.30|CS 22957-019
Ca I  | 13| | 4.32| 0.41| 0.11| 0.22| 0.13| 0.23|CS 22957-019
Sc II |  7| | 0.82| 0.09| 0.09| 0.15| 0.21| 0.12|CS 22957-019
Ti I  | 14| | 2.84| 0.32| 0.11| 0.22| 0.13| 0.22|CS 22957-019
Ti II | 29| | 2.88| 0.35| 0.08| 0.15| 0.20| 0.12|CS 22957-019
V II  |  2| | 1.73| 0.22| 0.28| 0.31| 0.35| 0.29|CS 22957-019
Cr I  |  8| | 3.10|-0.10| 0.09| 0.22| 0.11| 0.22|CS 22957-019
Cr II |  4| | 3.45| 0.23| 0.10| 0.16| 0.22| 0.13|CS 22957-019
Mn I  |  4| | 2.75|-0.25| 0.07| 0.21| 0.11| 0.22|CS 22957-019
Mn II |  2| | 2.59|-0.43| 0.18| 0.22| 0.26| 0.19|CS 22957-019
Co I  |  9| | 2.62| 0.06| 0.17| 0.26| 0.18| 0.26|CS 22957-019
Ni I  | 12| | 3.83| 0.05| 0.15| 0.27| 0.18| 0.27|CS 22957-019
Zn I  |  2| | 2.27| 0.14| 0.14| 0.24| 0.16| 0.24|CS 22957-019
Rb I  |  1|<| 2.37| 2.28|     |     |     |     |CS 22957-019
Sr II |  2| | 0.46| 0.01| 0.04| 0.23| 0.25| 0.22|CS 22957-019
Y II  |  1| |-0.78|-0.57| 0.20| 0.23| 0.28| 0.21|CS 22957-019
Zr II |  1| | 0.22| 0.06| 0.23| 0.27| 0.31| 0.25|CS 22957-019
Nb II |  1|<| 1.24| 2.20|     |     |     |     |CS 22957-019
Mo I  |  1|<| 1.04| 1.59|     |     |     |     |CS 22957-019
Tc I  |  1|<| 1.18|     |     |     |     |     |CS 22957-019
Ba II |  2| |-0.72|-0.48| 0.08| 0.15| 0.21| 0.11|CS 22957-019
Ce II |  5|<|-0.12| 0.72|     |     |     |     |CS 22957-019
Pr II |  1|<|-0.35| 1.35|     |     |     |     |CS 22957-019
Nd II |  1|<|-0.40| 0.60|     |     |     |     |CS 22957-019
Sm II |  2|<|-0.29| 1.17|     |     |     |     |CS 22957-019
Eu II |  1|<|-0.88| 1.02|     |     |     |     |CS 22957-019
Gd II |  3|<| 0.12| 1.47|     |     |     |     |CS 22957-019
Tb II |  3|<|-0.40| 1.72|     |     |     |     |CS 22957-019
Dy II |  2|<|-0.37| 0.95|     |     |     |     |CS 22957-019
Er II |  3|<|-0.28| 1.22|     |     |     |     |CS 22957-019
Tm II |  2|<|-0.77| 1.55|     |     |     |     |CS 22957-019
Yb II |  1| |-1.38| 0.12| 0.51| 0.52| 0.54| 0.51|CS 22957-019
Hf II |  1|<| 0.50| 2.07|     |     |     |     |CS 22957-019
Pb I  |  1|<| 1.40| 1.79|     |     |     |     |CS 22957-019
Fe I  |103| | 4.22|-3.28| 0.06| 0.14| 0.00| 0.00|CS 22957-022
Fe II | 10| | 4.33|-3.17| 0.07| 0.16| 0.00| 0.00|CS 22957-022
Li I  |  1|<| 0.63|     |     |     |     |     |CS 22957-022
C (CH)|  1| | 5.32| 0.06| 0.15| 0.25| 0.19| 0.19|CS 22957-022
N (CN)|  1|<| 6.25| 1.59|     |     |     |     |CS 22957-022
O I   |  3|<| 6.85| 1.44|     |     |     |     |CS 22957-022
Mg I  |  8| | 4.78| 0.47| 0.05| 0.15| 0.08| 0.18|CS 22957-022
Al I  |  1| | 2.55|-0.62| 0.09| 0.29| 0.23| 0.29|CS 22957-022
Si I  |  1| | 5.04| 0.81| 0.16| 0.29| 0.22| 0.26|CS 22957-022
Ca I  | 13| | 3.46| 0.41| 0.11| 0.17| 0.12| 0.20|CS 22957-022
Sc II |  6| |-0.11|-0.09| 0.06| 0.15| 0.17| 0.10|CS 22957-022
Ti I  | 13| | 1.89| 0.22| 0.07| 0.15| 0.09| 0.18|CS 22957-022
Ti II | 24| | 1.90| 0.12| 0.06| 0.15| 0.17| 0.09|CS 22957-022
V I   |  1| | 0.66| 0.01| 0.12| 0.18| 0.14| 0.21|CS 22957-022
V II  |  2| | 0.75|-0.01| 0.22| 0.26| 0.27| 0.23|CS 22957-022
Cr I  |  6| | 2.22|-0.14| 0.05| 0.14| 0.07| 0.18|CS 22957-022
Cr II |  1| | 2.76| 0.29| 0.08| 0.16| 0.18| 0.10|CS 22957-022
Mn I  |  4| | 1.78|-0.36| 0.09| 0.17| 0.11| 0.20|CS 22957-022
Co I  |  4| | 1.71| 0.00| 0.13| 0.19| 0.14| 0.22|CS 22957-022
Ni I  |  3| | 2.94| 0.00| 0.11| 0.19| 0.13| 0.21|CS 22957-022
Zn I  |  2| | 1.72| 0.44| 0.09| 0.16| 0.11| 0.19|CS 22957-022
Sr II |  2| |-0.74|-0.45| 0.04| 0.24| 0.24| 0.24|CS 22957-022
Y II  |  2| |-1.68|-0.73| 0.13| 0.19| 0.21| 0.15|CS 22957-022
Zr II |  3| |-0.76|-0.18| 0.13| 0.19| 0.21| 0.15|CS 22957-022
Nb II |  1|<| 0.24| 1.95|     |     |     |     |CS 22957-022
Mo I  |  1|<|-0.29| 1.11|     |     |     |     |CS 22957-022
Tc I  |  1|<| 0.05|     |     |     |     |     |CS 22957-022
Sn I  |  1|<| 1.25| 2.46|     |     |     |     |CS 22957-022
Ba II |  1| |-2.29|-1.30| 0.05| 0.15| 0.17| 0.09|CS 22957-022
Ce II |  5|<|-1.31| 0.28|     |     |     |     |CS 22957-022
Pr II |  1|<|-1.82| 0.63|     |     |     |     |CS 22957-022
Nd II |  5|<|-1.73| 0.02|     |     |     |     |CS 22957-022
Sm II |  2|<|-1.51| 0.70|     |     |     |     |CS 22957-022
Eu II |  3|<|-2.60| 0.05|     |     |     |     |CS 22957-022
Gd II |  3|<|-1.08| 1.02|     |     |     |     |CS 22957-022
Tb II |  3|<|-1.72| 1.15|     |     |     |     |CS 22957-022
Dy II |  2|<|-1.98| 0.09|     |     |     |     |CS 22957-022
Er II |  2|<|-1.53| 0.72|     |     |     |     |CS 22957-022
Tm II |  2|<|-2.06| 1.01|     |     |     |     |CS 22957-022
Yb II |  1|<|-2.59|-0.34|     |     |     |     |CS 22957-022
Hf II |  1|<|-0.78| 1.54|     |     |     |     |CS 22957-022
Pb I  |  1|<| 0.77| 2.01|     |     |     |     |CS 22957-022
Th II |  2|<|-1.77| 1.34|     |     |     |     |CS 22957-022
Fe I  | 71| | 4.59|-2.91| 0.08| 0.22| 0.00| 0.00|CS 22957-024
Fe II |  5| | 4.69|-2.81| 0.09| 0.16| 0.00| 0.00|CS 22957-024
Li I  |  1| | 1.96|     | 0.07| 0.20| 0.11| 0.22|CS 22957-024
C (CH)|  1| | 6.30| 0.69| 0.15| 0.25| 0.20| 0.20|CS 22957-024
N (NH)|  1|<| 6.80| 1.79|     |     |     |     |CS 22957-024
Na I  |  1| | 3.20|-0.13| 0.10| 0.24| 0.14| 0.26|CS 22957-024
Mg I  |  6| | 5.06| 0.37| 0.08| 0.22| 0.11| 0.22|CS 22957-024
Al I  |  2| | 2.84|-0.70| 0.09| 0.23| 0.13| 0.25|CS 22957-024
Si I  |  1| | 5.02| 0.42| 0.16| 0.36| 0.24| 0.34|CS 22957-024
Ca I  | 10| | 3.92| 0.50| 0.11| 0.22| 0.14| 0.24|CS 22957-024
Sc II |  4| | 0.43| 0.09| 0.09| 0.15| 0.22| 0.13|CS 22957-024
Ti I  |  2| | 2.53| 0.49| 0.10| 0.22| 0.13| 0.23|CS 22957-024
Ti II | 14| | 2.42| 0.28| 0.07| 0.14| 0.21| 0.12|CS 22957-024
V II  |  2|<| 1.79| 0.67|     |     |     |     |CS 22957-024
Cr I  |  3| | 2.54|-0.19| 0.05| 0.20| 0.10| 0.21|CS 22957-024
Mn I  |  3| | 2.05|-0.46| 0.10| 0.21| 0.13| 0.23|CS 22957-024
Mn II |  2| | 2.17|-0.45| 0.16| 0.21| 0.25| 0.19|CS 22957-024
Co I  |  3| | 2.29| 0.21| 0.16| 0.25| 0.17| 0.26|CS 22957-024
Ni I  |  5| | 3.27|-0.04| 0.15| 0.26| 0.17| 0.26|CS 22957-024
Zn I  |  1|<| 3.43| 1.78|     |     |     |     |CS 22957-024
Sr II |  2| | 0.05|-0.01| 0.04| 0.20| 0.23| 0.19|CS 22957-024
Zr II |  1|<| 0.36| 0.59|     |     |     |     |CS 22957-024
Nb II |  1|<| 1.46| 2.81|     |     |     |     |CS 22957-024
Mo I  |  1|<| 1.24| 2.27|     |     |     |     |CS 22957-024
Tc I  |  1|<| 1.59|     |     |     |     |     |CS 22957-024
Ba II |  1| |-1.28|-0.65| 0.07| 0.15| 0.22| 0.12|CS 22957-024
Ce II |  5|<|-0.01| 1.22|     |     |     |     |CS 22957-024
Pr II |  4|<|-0.22| 1.87|     |     |     |     |CS 22957-024
Nd II |  3|<|-0.16| 1.23|     |     |     |     |CS 22957-024
Sm II |  2|<|-0.04| 1.81|     |     |     |     |CS 22957-024
Eu II |  4|<|-1.25| 1.04|     |     |     |     |CS 22957-024
Gd II |  3|<| 0.36| 2.10|     |     |     |     |CS 22957-024
Tb II |  1|<| 0.53| 3.04|     |     |     |     |CS 22957-024
Dy II |  3|<|-0.24| 1.47|     |     |     |     |CS 22957-024
Ho II |  1|<|-0.51| 1.82|     |     |     |     |CS 22957-024
Er II |  3|<|-0.08| 1.81|     |     |     |     |CS 22957-024
Tm II |  2|<|-0.43| 2.28|     |     |     |     |CS 22957-024
Yb II |  1|<|-0.97| 0.92|     |     |     |     |CS 22957-024
Hf II |  2|<| 0.62| 2.58|     |     |     |     |CS 22957-024
Pb I  |  1|<| 1.73| 2.60|     |     |     |     |CS 22957-024
Th II |  2|<|-0.17| 2.58|     |     |     |     |CS 22957-024
Fe I  |125| | 5.57|-1.93| 0.06| 0.21| 0.00| 0.00|CS 22957-026
Fe II | 12| | 5.61|-1.89| 0.07| 0.14| 0.00| 0.00|CS 22957-026
Li I  |  1| | 2.24|     | 0.06| 0.20| 0.09| 0.20|CS 22957-026
C (CH)|  1| | 6.83| 0.27| 0.15| 0.25| 0.19| 0.19|CS 22957-026
N (NH)|  1|<| 6.90| 0.94|     |     |     |     |CS 22957-026
O I   |  3| | 6.99| 0.23| 0.06| 0.20| 0.09| 0.20|CS 22957-026
Mg I  |  5| | 6.04| 0.37| 0.07| 0.23| 0.11| 0.22|CS 22957-026
Al I  |  1| | 3.67|-0.85| 0.09| 0.33| 0.20| 0.29|CS 22957-026
Ca I  | 13| | 4.82| 0.41| 0.11| 0.23| 0.12| 0.23|CS 22957-026
Sc II |  8| | 1.32| 0.06| 0.07| 0.14| 0.20| 0.10|CS 22957-026
Ti I  | 16| | 3.33| 0.31| 0.07| 0.20| 0.10| 0.21|CS 22957-026
Ti II | 26| | 3.42| 0.36| 0.06| 0.14| 0.20| 0.09|CS 22957-026
V I   |  1| | 2.08| 0.08| 0.12| 0.23| 0.14| 0.23|CS 22957-026
V II  |  2| | 2.20| 0.16| 0.22| 0.25| 0.30| 0.23|CS 22957-026
Cr I  | 10| | 3.63|-0.08| 0.07| 0.21| 0.09| 0.21|CS 22957-026
Cr II |  3| | 3.95| 0.20| 0.07| 0.14| 0.21| 0.10|CS 22957-026
Mn I  |  5| | 3.18|-0.32| 0.07| 0.21| 0.09| 0.21|CS 22957-026
Mn II |  3| | 3.23|-0.31| 0.16| 0.20| 0.25| 0.17|CS 22957-026
Co I  |  3| | 3.00|-0.06| 0.14| 0.24| 0.15| 0.24|CS 22957-026
Ni I  | 13| | 4.35| 0.06| 0.13| 0.25| 0.15| 0.24|CS 22957-026
Zn I  |  2| | 2.77| 0.14| 0.07| 0.20| 0.10| 0.21|CS 22957-026
Rb I  |  1|<| 2.62| 2.03|     |     |     |     |CS 22957-026
Sr II |  2| | 1.18| 0.20| 0.04| 0.22| 0.22| 0.23|CS 22957-026
Y II  |  2| | 0.04|-0.28| 0.11| 0.17| 0.22| 0.13|CS 22957-026
Zr II |  3| | 0.95| 0.26| 0.09| 0.15| 0.22| 0.11|CS 22957-026
Nb II |  1|<| 1.60| 2.03|     |     |     |     |CS 22957-026
Mo I  |  1|<| 1.30| 1.35|     |     |     |     |CS 22957-026
Tc I  |  1|<| 1.43|     |     |     |     |     |CS 22957-026
Ba II |  3| | 0.26|-0.03| 0.05| 0.14| 0.20| 0.09|CS 22957-026
La II |  1| |-0.42| 0.37| 0.15| 0.20| 0.25| 0.16|CS 22957-026
Ce II |  5|<| 0.09| 0.40|     |     |     |     |CS 22957-026
Pr II |  1|<| 0.01| 1.18|     |     |     |     |CS 22957-026
Nd II |  4|<| 0.00| 0.47|     |     |     |     |CS 22957-026
Sm II |  2|<| 0.00| 0.93|     |     |     |     |CS 22957-026
Eu II |  2| |-1.00| 0.37| 0.18| 0.22| 0.27| 0.20|CS 22957-026
Gd II |  3|<| 0.37| 1.19|     |     |     |     |CS 22957-026
Tb II |  3|<| 0.04| 1.63|     |     |     |     |CS 22957-026
Dy II |  1|<|-0.57| 0.22|     |     |     |     |CS 22957-026
Yb II |  1| |-0.80| 0.17| 0.22| 0.25| 0.29| 0.23|CS 22957-026
Hf II |  1|<| 0.85| 1.89|     |     |     |     |CS 22957-026
Pb I  |  1|<| 1.96| 1.85|     |     |     |     |CS 22957-026
Fe I  | 36| | 4.31|-3.19| 0.06| 0.14| 0.00| 0.00|CS 22957-027
Fe II |  3| | 4.50|-3.00| 0.07| 0.16| 0.00| 0.00|CS 22957-027
Li I  |  1|<| 0.86|     |     |     |     |     |CS 22957-027
C (CH)|  1| | 7.85| 2.42| 0.15| 0.25| 0.19| 0.19|CS 22957-027
N (NH)|  1| | 6.33| 1.50| 0.30| 0.36| 0.32| 0.32|CS 22957-027
O I   |  3|<| 6.70| 1.20|     |     |     |     |CS 22957-027
Na I  |  3| | 4.03| 0.98| 0.12| 0.20| 0.15| 0.22|CS 22957-027
Mg I  |  3| | 4.49| 0.08| 0.06| 0.16| 0.09| 0.19|CS 22957-027
Al I  |  1| | 3.14|-0.12| 0.09| 0.30| 0.24| 0.30|CS 22957-027
K I   |  1| | 1.88| 0.04| 0.16| 0.20| 0.17| 0.23|CS 22957-027
Ca I  |  3| | 3.46| 0.32| 0.11| 0.17| 0.12| 0.20|CS 22957-027
Ti I  |  2| | 2.08| 0.32| 0.07| 0.15| 0.09| 0.18|CS 22957-027
Ti II |  5| | 2.15| 0.20| 0.05| 0.15| 0.17| 0.12|CS 22957-027
Cr I  |  1| | 2.32|-0.13| 0.04| 0.14| 0.07| 0.18|CS 22957-027
Mn II |  2| | 2.12|-0.31| 0.15| 0.22| 0.23| 0.20|CS 22957-027
Co I  |  4| | 1.94| 0.15| 0.13| 0.19| 0.14| 0.22|CS 22957-027
Ni I  |  4| | 3.00|-0.03| 0.12| 0.20| 0.14| 0.22|CS 22957-027
Zn I  |  1|<| 2.02| 0.65|     |     |     |     |CS 22957-027
Rb I  |  1|<| 2.20| 2.87|     |     |     |     |CS 22957-027
Sr II |  1| |-0.88|-0.75| 0.05| 0.18| 0.19| 0.16|CS 22957-027
Ba II |  1| |-1.82|-1.00| 0.05| 0.15| 0.18| 0.09|CS 22957-027
Ce II |  4|<|-0.06| 1.36|     |     |     |     |CS 22957-027
Pr II |  2|<|-0.37| 1.91|     |     |     |     |CS 22957-027
Nd II |  1|<|-0.16| 1.42|     |     |     |     |CS 22957-027
Sm II |  2|<|-0.54| 1.50|     |     |     |     |CS 22957-027
Eu II |  1|<|-1.60| 0.88|     |     |     |     |CS 22957-027
Gd II |  1|<|-0.22| 1.71|     |     |     |     |CS 22957-027
Tb II |  2|<|-0.15| 2.55|     |     |     |     |CS 22957-027
Dy II |  1|<| 0.11| 2.01|     |     |     |     |CS 22957-027
Er II |  1|<|-0.11| 1.97|     |     |     |     |CS 22957-027
Tm II |  1|<|-0.04| 2.86|     |     |     |     |CS 22957-027
Yb II |  1|<|-1.69| 0.39|     |     |     |     |CS 22957-027
Hf II |  1|<| 0.19| 2.34|     |     |     |     |CS 22957-027
Pb I  |  1|<| 1.26| 2.41|     |     |     |     |CS 22957-027
Fe I  |112| | 5.22|-2.28| 0.06| 0.21| 0.00| 0.00|CS 22957-036
Fe II |  8| | 5.41|-2.09| 0.06| 0.14| 0.00| 0.00|CS 22957-036
Li I  |  1| | 2.09|     | 0.06| 0.20| 0.09| 0.20|CS 22957-036
C (CH)|  1| | 6.38| 0.04| 0.15| 0.25| 0.19| 0.19|CS 22957-036
N (NH)|  1|<| 6.90| 1.16|     |     |     |     |CS 22957-036
O I   |  3| | 6.90| 0.50| 0.07| 0.20| 0.09| 0.20|CS 22957-036
Na I  |  1| | 3.81|-0.15| 0.10| 0.32| 0.20| 0.29|CS 22957-036
Mg I  |  7| | 5.67| 0.36| 0.05| 0.24| 0.09| 0.21|CS 22957-036
Al I  |  1| | 3.38|-0.79| 0.09| 0.33| 0.20| 0.29|CS 22957-036
Si I  |  1| | 5.67| 0.44| 0.16| 0.37| 0.24| 0.30|CS 22957-036
Ca I  | 13| | 4.56| 0.50| 0.11| 0.22| 0.12| 0.22|CS 22957-036
Sc II |  5| | 1.16| 0.10| 0.06| 0.14| 0.20| 0.09|CS 22957-036
Ti I  | 10| | 3.08| 0.42| 0.07| 0.20| 0.09| 0.20|CS 22957-036
Ti II | 29| | 3.24| 0.38| 0.06| 0.14| 0.20| 0.09|CS 22957-036
V II  |  2| | 2.05| 0.21| 0.22| 0.25| 0.29| 0.23|CS 22957-036
Cr I  |  7| | 3.26|-0.10| 0.06| 0.21| 0.09| 0.21|CS 22957-036
Cr II |  2| | 3.83| 0.28| 0.06| 0.14| 0.21| 0.09|CS 22957-036
Mn I  |  4| | 2.90|-0.24| 0.06| 0.22| 0.10| 0.21|CS 22957-036
Mn II |  3| | 3.06|-0.28| 0.16| 0.20| 0.25| 0.17|CS 22957-036
Co I  |  3| | 2.65|-0.06| 0.12| 0.24| 0.14| 0.23|CS 22957-036
Ni I  |  9| | 4.04| 0.10| 0.14| 0.29| 0.18| 0.27|CS 22957-036
Zn I  |  2| | 2.64| 0.36| 0.08| 0.21| 0.10| 0.21|CS 22957-036
Rb I  |  1|<| 2.60| 2.36|     |     |     |     |CS 22957-036
Sr II |  2| | 0.98| 0.20| 0.04| 0.23| 0.23| 0.23|CS 22957-036
Zr II |  3| | 0.89| 0.40| 0.10| 0.16| 0.22| 0.12|CS 22957-036
Nb II |  1|<| 1.49| 2.12|     |     |     |     |CS 22957-036
Mo I  |  1|<| 1.13| 1.53|     |     |     |     |CS 22957-036
Tc I  |  1|<| 1.47|     |     |     |     |     |CS 22957-036
Ba II |  2| |-0.13|-0.22| 0.06| 0.14| 0.20| 0.09|CS 22957-036
Ce II |  4|<| 0.18| 0.69|     |     |     |     |CS 22957-036
Pr II |  1|<| 0.00| 1.37|     |     |     |     |CS 22957-036
Nd II |  5|<|-0.08| 0.59|     |     |     |     |CS 22957-036
Sm II |  2|<| 0.17| 1.30|     |     |     |     |CS 22957-036
Eu II |  1| |-1.02| 0.55| 0.12| 0.17| 0.23| 0.13|CS 22957-036
Gd II |  3|<| 0.33| 1.35|     |     |     |     |CS 22957-036
Tb II |  3|<|-0.05| 1.74|     |     |     |     |CS 22957-036
Dy II |  2|<|-0.03| 0.96|     |     |     |     |CS 22957-036
Ho II |  1|<|-0.05| 1.56|     |     |     |     |CS 22957-036
Er II |  3|<|-0.04| 1.13|     |     |     |     |CS 22957-036
Tm II |  2|<|-0.56| 1.43|     |     |     |     |CS 22957-036
Yb II |  1| |-0.99| 0.18| 0.23| 0.26| 0.30| 0.24|CS 22957-036
Hf II |  1|<| 0.78| 2.02|     |     |     |     |CS 22957-036
Pb I  |  1|<| 1.73| 1.97|     |     |     |     |CS 22957-036
Th II |  2|<|-0.23| 1.80|     |     |     |     |CS 22957-036
Fe I  | 84| | 4.99|-2.51| 0.06| 0.17| 0.00| 0.00|CS 22958-037
Fe II | 11| | 4.99|-2.51| 0.06| 0.15| 0.00| 0.00|CS 22958-037
Li I  |  1|<| 1.46|     |     |     |     |     |CS 22958-037
C (CH)|  1|<| 6.25| 0.33|     |     |     |     |CS 22958-037
N (CN)|  1|<| 7.75| 2.43|     |     |     |     |CS 22958-037
O I   |  3| | 6.27| 0.09| 0.08| 0.18| 0.10| 0.20|CS 22958-037
Na I  |  1| | 3.57|-0.16| 0.10| 0.23| 0.16| 0.25|CS 22958-037
Mg I  |  7| | 5.43| 0.33| 0.05| 0.17| 0.07| 0.19|CS 22958-037
Al I  |  2| | 3.11|-0.84| 0.09| 0.21| 0.13| 0.23|CS 22958-037
Si I  |  1| | 5.40| 0.40| 0.16| 0.31| 0.25| 0.33|CS 22958-037
Ca I  | 12| | 4.15| 0.32| 0.11| 0.19| 0.12| 0.21|CS 22958-037
Sc II |  7| | 0.83| 0.19| 0.06| 0.15| 0.19| 0.09|CS 22958-037
Ti I  |  7| | 2.87| 0.43| 0.07| 0.17| 0.09| 0.20|CS 22958-037
Ti II | 25| | 2.73| 0.28| 0.05| 0.15| 0.19| 0.08|CS 22958-037
V II  |  2| | 1.68| 0.26| 0.19| 0.24| 0.27| 0.20|CS 22958-037
Cr I  |  5| | 2.96|-0.17| 0.06| 0.17| 0.09| 0.20|CS 22958-037
Cr II |  3| | 3.26| 0.13| 0.07| 0.16| 0.20| 0.10|CS 22958-037
Mn I  |  4| | 2.81|-0.11| 0.06| 0.17| 0.08| 0.19|CS 22958-037
Co I  |  5| | 2.70| 0.22| 0.13| 0.21| 0.14| 0.23|CS 22958-037
Ni I  |  4| | 3.77| 0.06| 0.13| 0.21| 0.14| 0.23|CS 22958-037
Zn I  |  2| | 2.30| 0.25| 0.08| 0.18| 0.10| 0.20|CS 22958-037
Rb I  |  1|<| 2.74| 2.73|     |     |     |     |CS 22958-037
Sr II |  2| | 0.28|-0.09| 0.04| 0.24| 0.23| 0.19|CS 22958-037
Y II  |  2| |-0.73|-0.44| 0.12| 0.18| 0.22| 0.13|CS 22958-037
Zr II |  2| | 0.14| 0.07| 0.10| 0.17| 0.21| 0.11|CS 22958-037
Nb II |  1|<| 0.90| 1.95|     |     |     |     |CS 22958-037
Mo I  |  1|<| 0.97| 1.60|     |     |     |     |CS 22958-037
Tc I  |  1|<| 1.21|     |     |     |     |     |CS 22958-037
Ba II |  3| |-0.68|-0.36| 0.05| 0.15| 0.19| 0.08|CS 22958-037
La II |  3|<|-1.08| 0.33|     |     |     |     |CS 22958-037
Ce II |  5|<|-0.53| 0.40|     |     |     |     |CS 22958-037
Pr II |  1|<|-0.80| 0.99|     |     |     |     |CS 22958-037
Nd II |  5|<|-0.74| 0.35|     |     |     |     |CS 22958-037
Sm II |  2|<|-0.67| 0.88|     |     |     |     |CS 22958-037
Eu II |  3| |-1.48| 0.51| 0.08| 0.16| 0.20| 0.10|CS 22958-037
Gd II |  1|<|-0.15| 1.29|     |     |     |     |CS 22958-037
Tb II |  3|<|-0.80| 1.41|     |     |     |     |CS 22958-037
Dy II |  1| |-0.77| 0.64| 0.09| 0.17| 0.21| 0.11|CS 22958-037
Er II |  1|<|-0.59| 1.00|     |     |     |     |CS 22958-037
Tm II |  2|<|-1.14| 1.27|     |     |     |     |CS 22958-037
Yb II |  1| |-1.37| 0.22| 0.15| 0.21| 0.24| 0.17|CS 22958-037
Hf II |  1|<|-0.05| 1.61|     |     |     |     |CS 22958-037
Pb I  |  1|<| 1.61| 2.08|     |     |     |     |CS 22958-037
